Coords,PGC,Name1,Name2,Name3,logD25,logD25err,RC3PA,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,SemiMinorAxis,PositionAngle,NEDRedshift
01h45m35.7s +03d21m27s,PGC 06454,,UGC 01235      U,,0.97,0.07,143.0,0.3,0.05,014535.7+032127,"NOPA,PANedMed,",0.467,0.234,71.0,0.017796
01h46m39.3s -03d46m49s,PGC 06518,,MCG -01-05-034 E,,1.14,0.06,,0.09,0.05,014639.3-034649,"NOPA,NedNoPA,",0.69,0.561,0.0,0.01786
01h49m08.4s -03d54m15s,PGC 06666,IC 0164,MCG -01-05-037 E,,1.15,0.1,,0.08,0.07,0149 8.4-035415 I,"NOPA,PANedMed,",0.706,0.587,145.0,0.017615
01h49m15.4896s -03d41m01.248s,PGC 06674,,MCG -01-05-036 E,,1.15,0.06,,0.05,0.05,014915.4-034103,"NOPA,OFFSET 2.2 arcsec,PANedMed,",0.706,0.629,175.0,0.041705
01h49m53.28s +03d40m56.28s,PGC 06726,,CGCG 386-039,,,,,,,014953.3+034055,"LOGD25,NOAXIS,NOPA,OFFSET 1.3 arcsec,PANedMed,HANDADJ Major Minor,",0.885,0.381,170.0,0.048574
01h49m59.5s +02d05m29s,PGC 06734,,UGC 01293      U,,1.0,0.08,143.0,0.19,0.06,014959.5+020529,"NOPA,PANedMed,",0.5,0.323,144.0,0.047186
01h50m07.056s -00d44m24.324s,PGC 06741,,UGC 01296,,0.95,0.07,105.0,0.66,0.05,015007.0-004425,"NOPA,OFFSET 5329.3 arcsec,PANedMed,",0.446,0.097,105.0,0.017694
01h50m10.7232s +02d18m37.224s,PGC 06751,,UGC 01297      U,,1.02,0.06,,0.11,0.05,015010.7+021835,"NOPA,OFFSET 2.3 arcsec,NedNoPA,",0.524,0.406,0.0,0.005661
01h50m41.58s -03d56m17.808s,PGC 06791,,MCG -01-05-040 E,IRAS01481-0411,1.02,0.07,,0.26,0.05,015041.7-035620,"NOPA,OFFSET 2.8 arcsec,PANedMed,",0.524,0.288,50.0,0.017939
01h51m10.7s -01d01m42s,PGC 06835,,UGC 01321      U,,1.04,0.18,,0.0,0.08,015110.7-010142,"NOPA,PANedMed,",0.548,0.548,112.0,0.042686
01h51m11.22s -03d29m57.012s,PGC 06837,,MCG -01-05-042 E,,1.13,0.06,,0.15,0.05,015111.3-032955,"NOPA,OFFSET 2.3 arcsec,PANedMed,",0.674,0.477,40.0,0.016928
01h51m48.5s +00d15m49s,PGC 06888,,UGC 01333      U,,1.07,0.06,1.0,0.1,0.05,015148.5+001549,"NOPA,PANedMed,",0.587,0.467,103.0,0.059239
01h52m49s -03d26m49s,PGC 06966,,MCG -01-05-047 E,IRAS01503-0341,1.46,0.04,,0.86,0.05,015249.0-032649,"NOPA,PANedMed,",1.442,0.199,160.0,0.017197
01h53m04.9s -01d04m31s,PGC 06986,,UGC 01354      U,,0.95,0.07,67.0,0.47,0.05,015304.9-010431,"NOPA,PANedMed,",0.446,0.151,61.0,0.059584
01h53m59.1888s -00d45m01.008s,PGC 07039,,UGC 01365,IRAS01514-0059,1.0,0.06,118.0,0.36,0.05,015359.3-004502,"NOPA,OFFSET 5403.0 arcsec,PANedMed,",0.5,0.218,118.0,0.015996
01h54m08.028s -00d44m33.108s,PGC 07046,,UGC 01367      U,,1.0,0.08,,0.43,0.06,015408.1-004433,"NOPA,OFFSET 5346.1 arcsec,PANedMed,",0.5,0.186,7.0,0.015828
01h54m22.3896s -00d37m42.096s,PGC 07071,,MCG +00-05-046,ARAK 061,0.64,0.17,,0.11,0.07,015422.4-003741,"NOPA,OFFSET 4523.1 arcsec,PANedMed,",0.218,0.169,60.0,0.016101
01h54m41.0424s -00d08m36.024s,PGC 07090,,UGC 01382      U,,1.03,0.11,,0.0,0.05,015441.0-000836,"NOPA,OFFSET 1032.0 arcsec,PANedMed,",0.536,0.536,55.0,0.019249
01h54m54.2s +00d48m40s,PGC 07116,IC 0172,MCG +00-05-049,ARAK 063,0.64,0.17,,0.19,0.07,015454.2+004840 I,"NOPA,PANedMed,",0.218,0.141,99.0,0.027379
01h55m57.1s +01d17m06s,PGC 07217,IC 0173,UGC 01402      U,,0.95,0.05,110.0,0.12,0.04,015557.1+011706 I,"NOPA,PANedMed,",0.446,0.338,97.0,0.046419
01h56m16.1s +03d45m42s,PGC 07249,IC 0174,UGC 01409      U,,1.13,0.1,95.0,0.22,0.05,015616.1+034542 I,"NOPA,PANedMed,",0.674,0.406,92.0,0.017369
01h56m47.6304s -03d44m13.704s,PGC 07301,,MCG -01-06-005 E,,1.17,0.05,,0.22,0.05,015647.7-034415,"NOPA,OFFSET 1.7 arcsec,PANedMed,",0.74,0.446,125.0,0.014967
01h56m53.4s -02d01m08s,PGC 07306,IC 0176,UGC 01426      U,,1.26,0.04,94.0,0.67,0.04,015653.4-020108 I,"NOPA,PANedMed,",0.91,0.195,94.0,0.01482
01h56m54.8352s -00d38m24.864s,PGC 07321,,CGCG 387-006,,,,,,,015654.8-003825,"LOGD25,NOAXIS,NOPA,OFFSET 4609.9 arcsec,PANedMed,",0.656,0.656,55.0,0.019153
01h57m00.576s -00d05m23.46s,PGC 07326,IC 0177,CGCG 387-007,,,,,,,0157 0.6-000523 I,"LOGD25,NOAXIS,NOPA,OFFSET 646.5 arcsec,PANedMed,",0.656,0.656,27.0,0.045175
01h57m05.3352s -00d28m05.736s,PGC 07328,IC 1756,UGC 01429      U,IRAS01545-0042,1.13,0.05,155.0,0.75,0.05,0157 5.3-002805 I,"NOPA,OFFSET 3370.7 arcsec,PANedMed,",0.674,0.12,152.0,0.022175
01h57m33.8s -02d06m07s,PGC 07368,,UGC 01442      U,,1.05,0.08,,0.15,0.06,015733.8-020607,"NOPA,PANedMed,",0.561,0.397,0.0,0.016475
01h58m02.94s +03d22m11.208s,PGC 07411,,UGC 01446a     U,KUG 0155+031,1.12,0.05,51.0,0.57,0.06,015802.9+032210,"NOPA,OFFSET 1.3 arcsec,PANedMed,",0.659,0.177,48.0,0.016134
01h58m05.2896s +03d05m01.104s,PGC 07417,A 0155+02,UGC 01449      R,MK 0582,1.08,0.05,,0.23,0.05,015806.7+030515 A,"NOPA,OFFSET 25.3 arcsec,PANedMed,HANDADJ PA Major Minor,",1.1,1.1,0.0,0.018116
01h58m08.6s +02d03m52s,PGC 07420,,UGC 01448      U,,1.12,0.04,110.0,0.6,0.04,015808.6+020352,"NOPA,PANedMed,",0.659,0.166,110.0,0.020988
01h58m34.9992s +03d15m25.992s,PGC 07458,,UGC 01454      U,,1.18,0.06,,0.07,0.06,015835.1+031527,"NOPA,OFFSET 1.8 arcsec,NedNoPA,",0.757,0.644,0.0,0.011628
01h58m35.8992s -01d27m25.704s,PGC 07460,,MCG +00-06-015,ARAK 069,0.69,0.15,127.0,0.33,0.07,015836.0-012724,"NOPA,OFFSET 2.3 arcsec,PANedMed,HANDADJ PA,",0.245,0.115,50.0,0.016652
01h58m40.9s +00d31m45s,PGC 07465,NGC 0768,UGC 01457      U,IRAS01561+0017,1.22,0.04,30.0,0.32,0.04,015840.9+003145 N,"NOPA,PANedMed,",0.83,0.397,30.0,0.023419
01h58m52.3s +00d34m05s,PGC 07484,IC 1761,CGCG 387-019,,0.95,0.1,,0.24,0.04,015852.3+003405 I,"NOPA,PANedMed,",0.446,0.256,55.0,0.023368
01h59m07.5696s +01d53m23.748s,PGC 07508,,UGC 01464      U,,1.14,0.07,15.0,0.16,0.07,015907.6+015325,"NOPA,OFFSET 1.3 arcsec,PANedMed,",0.69,0.477,15.0,0.009837
01h59m11.3s +00d06m35s,PGC 07511,,CGCG 387-020,KUG 0156-001,,,,,,015911.3+000635,"LOGD25,NOAXIS,NOPA,PANedMed,",0.656,0.656,87.0,0.01937
02h00m04.8696s -00d16m44.868s,PGC 07574,,UGC 01481      U,,1.04,0.05,147.0,0.59,0.04,020004.9-001645,"NOPA,OFFSET 2009.9 arcsec,PANedMed,",0.548,0.141,147.0,0.027818
02h01m20.9736s -01d18m11.484s,PGC 07675,,MCG +00-06-022,MK 1015,,,,,,020121.1-011811,"LOGD25,NOAXIS,NOPA,OFFSET 2.0 arcsec,PANedMed,",0.656,0.656,70.0,0.039487
02h02m11.8464s -00d07m49.548s,PGC 07740,NGC 0800,UGC 01526      U,IRAS01596-0021,1.01,0.05,10.0,0.07,0.04,020211.8-000749 N,"NOPA,OFFSET 938.5 arcsec,PANedMed,",0.512,0.435,10.0,0.019899
02h02m12.3384s -00d06m02.268s,PGC 07741,NGC 0799,UGC 01527      U,,1.3,0.04,100.0,0.06,0.04,020212.3-000602 N,"NOPA,OFFSET 724.3 arcsec,PANedMed,",0.998,0.869,42.0,0.01973
02h02m17.3s -01d07m41s,PGC 07748,,UGC 01525      U,,1.06,0.11,,0.15,0.05,020217.3-010741,"NOPA,PANedMed,",0.574,0.406,60.0,0.042756
02h03m05.2s +02d36m51s,PGC 07812,IC 0194,UGC 01542      U,,1.16,0.04,13.0,0.79,0.04,0203 5.2+023651 I,"NOPA,PANedMed,",0.723,0.117,11.0,0.021305
02h03m30.4s +02d33m58s,PGC 07834,A 0200+02,,MK 0585,,,,,,020330.4+023358 A,"NOPA,OFFSET 4.7 arcsec,NedNoPA,HANDADJ Major Minor,HANDADJ Major Minor,",0.465,0.381,15.0,0.021048
02h04m04.9s +02d47m12s,PGC 07875,IC 0197,UGC 01564      U,KUG 0201+025,1.0,0.05,55.0,0.3,0.04,0204 4.9+024712 I,"NOPA,PANedMed,",0.5,0.251,55.0,0.021068
02h05m40.32s -00d41m41.388s,PGC 07979,,UGC 01588      U,,1.1,0.05,150.0,0.83,0.05,020540.4-004142,"NOPA,OFFSET 5003.4 arcsec,PANedMed,",0.629,0.093,150.0,0.042763
02h06m15.9888s -00d17m29.184s,PGC 08029,,UGC 01597      U,MK 1018,1.04,0.11,0.0,0.14,0.05,020616.0-001729,"NOPA,OFFSET 2098.2 arcsec,PANedMed,",0.548,0.397,170.0,0.042436
02h06m25.9344s +03d42m21.456s,PGC 08039,IC 1779,CGCG 387-035,,,,,,,020626.0+034221 I,"LOGD25,NOAXIS,NOPA,OFFSET 1.1 arcsec,PANedMed,",0.656,0.656,120.0,0.031922
02h06m36.8s +01d30m57s,PGC 08056,,UGC 01600      U,,1.07,0.06,111.0,0.88,0.05,020636.8+013057,"NOPA,PANedMed,",0.587,0.077,110.0,0.022736
02h06m42.5136s -00d51m37.548s,PGC 08060,,UGC 01603      U,,1.09,0.06,,0.08,0.05,020642.5-005137,"NOPA,OFFSET 6194.5 arcsec,PANedMed,",0.615,0.512,125.0,0.019854
02h06m52.7928s -00d31m05.124s,PGC 08067,IC 1781,CGCG 387-037,,,,,,,020652.8-003105 I,"LOGD25,NOAXIS,NOPA,OFFSET 3730.1 arcsec,PANedMed,",0.656,0.656,116.0,0.043393
02h07m25.2816s +02d06m57.996s,PGC 08096,,MCG +00-06-033,ARAK 074,0.42,,,0.0,0.07,020725.4+020658,"LOGD25ERR,NOPA,OFFSET 1.8 arcsec,PANedMed,",0.132,0.132,165.0,0.024007
02h07m27.4s -02d05m28s,PGC 08098,IC 0205,UGC 01613      U,,0.99,0.06,,0.02,0.05,020727.4-020528 I,"NOPA,PANedMed,",0.489,0.467,45.0,0.027843
02h07m34.1s +02d06m55s,PGC 08110,,UGC 01617      U,ARAK 075,0.9,0.15,,0.05,0.05,020734.1+020655,"NOPA,PANedMed,",0.397,0.354,40.0,0.02374
02h07m37.4928s +02d10m50.448s,PGC 08114,,UGC 01618      U,HICK 015D,0.94,0.14,,0.05,0.05,020737.6+021050,"NOPA,OFFSET 1.7 arcsec,PANedMed,",0.435,0.388,60.0,0.020828
02h07m39.78s +02d08m58.812s,PGC 08117,,UGC 01620      U,HICK 015C,0.9,0.15,,0.0,0.05,020739.7+020859,"NOPA,OFFSET 1.2 arcsec,PANedMed,",0.397,0.397,110.0,0.024203
02h07m53.0808s +02d10m03.396s,PGC 08128,,UGC 01624      U,HICK 015A,1.03,0.11,130.0,0.3,0.05,020753.2+021003,"NOPA,OFFSET 1.8 arcsec,PANedMed,",0.536,0.269,132.0,0.023239
02h08m04.9512s +01d53m39.804s,PGC 08148,,UGC 01627,MK 1174,0.93,0.07,70.0,0.4,0.05,020805.0+015341,"NOPA,OFFSET 1.4 arcsec,PANedMed,",0.426,0.169,72.0,0.022449
02h08m20.1744s +01d11m03.336s,PGC 08157,,MCG +00-06-043,,0.82,0.13,,0.08,0.07,020820.1+011102,"NOPA,OFFSET 1.7 arcsec,PANedMed,",0.33,0.275,99.0,0.04237
02h08m51.2496s +02d43m09.084s,PGC 08188,,UGC 01643      U,KUG 0206+024,0.9,0.05,13.0,0.26,0.04,020851.3+024310,"NOPA,OFFSET 1.2 arcsec,PANedMed,",0.397,0.218,91.0,0.041535
02h10m22.5312s +01d12m04.212s,PGC 08302,,UGC 01665      U,,0.96,0.09,,0.0,0.06,021022.6+011204,"NOPA,OFFSET 1.1 arcsec,PANedMed,",0.456,0.456,116.0,0.011805
02h10m52.5672s -02d48m21.78s,PGC 08339,,MCG -01-06-063 E,,1.11,0.06,,0.23,0.05,021052.8-024826,"NOPA,OFFSET 5.5 arcsec,NedNoPA,HANDADJ PA,",0.644,0.379,115.0,0.037302
02h11m06.4008s -00d39m18.396s,PGC 08356,,MCG +00-06-047,,0.74,0.14,73.0,0.38,0.07,021106.5-003918,"NOPA,OFFSET 4716.4 arcsec,PANedMed,HANDADJ PA,",0.275,0.115,115.0,0.019908
02h11m08s +03d51m09s,PGC 08360,IC 0211,UGC 01678      U,IRAS02085+0337,1.36,0.03,45.0,0.1,0.04,0211 8.0+035109 I,"NOPA,PANedMed,",1.145,0.91,72.0,0.010861
02h11m12.1s +03d46m47s,PGC 08368,NGC 0851,UGC 01680      U,MK 0588,1.0,0.05,135.0,0.2,0.03,021112.1+034647 N,"NOPA,PANedMed,",0.5,0.315,127.0,0.010377
02h11m13.6128s -01d29m08.088s,PGC 08369,NGC 0850,UGC 01679      U,,1.06,0.06,85.0,0.03,0.07,021113.6-012907 N,"NOPA,OFFSET 1.1 arcsec,PANedMed,",0.574,0.536,105.0,0.027232
02h12m20.4096s -02d08m29.616s,PGC 08435,,UGC 01697      U,,1.08,0.06,135.0,0.37,0.05,021220.5-020829,"NOPA,OFFSET 1.5 arcsec,PANedMed,",0.601,0.256,135.0,0.037609
02h12m19.6848s -00d48m41.436s,PGC 08439,,UGC 01698      U,,1.06,0.05,105.0,0.07,0.04,021219.7-004841,"NOPA,OFFSET 5842.4 arcsec,PANedMed,",0.574,0.489,110.0,0.040645
02h13m38.3592s -00d43m02.244s,PGC 08526,NGC 0856,UGC 01713      U,,1.11,0.05,20.0,0.15,0.04,021338.4-004302 N,"NOPA,OFFSET 5164.2 arcsec,PANedMed,",0.644,0.456,17.0,0.019927
02h14m25.8792s +01d28m11.388s,PGC 08582,,UGC 01725      U,KUG 0211+012,1.02,0.04,84.0,0.8,0.05,021425.8+012811,"NOPA,OFFSET 1.2 arcsec,PANedMed,",0.524,0.083,79.0,0.030091
02h14m33.5616s -00d46m00.084s,PGC 08586,NGC 0863,UGC 01727      U,MK 0590,1.03,0.03,,0.03,0.04,021433.6-004600 N,"NOPA,OFFSET 5520.1 arcsec,PANedMed,",0.536,0.5,171.0,0.026385
02h15m37.92s +01d39m43.092s,PGC 08635,,UGC 01741      U,IRAS02130+0125,0.93,0.07,178.0,0.47,0.05,021538.0+013943,"NOPA,OFFSET 1.2 arcsec,PANedMed,",0.426,0.144,89.0,0.030208
02h15m53.9s +01d46m55s,PGC 08653,,UGC 01746      U,,1.11,0.05,95.0,0.12,0.04,021553.9+014655,"NOPA,PANedMed,",0.644,0.489,45.0,0.020192
02h15m58.4784s -00d42m49.068s,PGC 08659,NGC 0868,UGC 01748      E,,1.11,0.1,95.0,0.1,0.06,021558.5-004248 N,"NOPA,OFFSET 5137.1 arcsec,PANedMed,",0.644,0.512,102.0,0.026837
02h16m53.9s +02d12m12s,PGC 08707,,UGC 01756      E,,1.05,0.06,52.0,0.41,0.05,021653.9+021212,"NOPA,PANedMed,",0.561,0.218,48.0,0.01008
02h17m04.8s +01d14m39s,PGC 08718,NGC 0875,UGC 01760      U,,1.06,0.05,105.0,0.02,0.04,0217 4.8+011439 N,"NOPA,PANedMed,",0.574,0.548,82.0,0.021585
02h17m12.0264s +01d42m18.468s,PGC 08725,,CGCG 387-067,MK 0591,0.5,0.14,,0.0,0.12,021711.8+014221,"NOPA,OFFSET 4.2 arcsec,PANedMed,",0.158,0.158,50.0,0.041706
02h19m41.1288s -00d15m20.34s,PGC 08876,A 0217+00,UGC 01794      U,MK 0592,1.06,0.04,10.0,0.09,0.04,021941.2-001521 A,"NOPA,OFFSET 1841.3 arcsec,PANedMed,",0.574,0.467,160.0,0.025738
02h19m58.7s +01d55m48s,PGC 08887,,UGC 01797      U,,1.0,0.07,135.0,0.28,0.05,021958.7+015548,"NOPA,PANedMed,",0.5,0.262,132.0,0.041028
02h20m53.4312s +00d33m24.336s,PGC 08929,,UGC 01809      U,KUG 0218+003,0.98,0.07,60.0,0.21,0.04,022053.5+003325,"NOPA,OFFSET 1.2 arcsec,PANedMed,",0.477,0.294,60.0,0.02437
02h21m40.5s +00d15m19s,PGC 08979,,UGC 01824      U,,0.93,0.07,30.0,0.22,0.05,022140.5+001519,"NOPA,PANedMed,",0.426,0.256,45.0,0.024897
02h22m30.024s -00d37m03.18s,PGC 09028,,UGC 01839      U,,1.31,0.04,45.0,0.93,0.05,022230.0-003704,"NOPA,OFFSET 4447.2 arcsec,PANedMed,",1.021,0.12,45.0,0.005134
02h24m24.8s -02d09m45s,PGC 09126,,UGC 01862      U,,1.22,0.03,10.0,0.11,0.04,022424.8-020945,"NOPA,PANedMed,",0.83,0.644,72.0,0.004613
02h24m29.2704s +01d50m28.104s,PGC 09128,,UGC 01863      U,,0.92,0.06,,0.01,0.04,022429.2+015028,"NOPA,OFFSET 1.1 arcsec,PANedMed,",0.416,0.406,110.0,0.022389
02h26m06.7104s -00d19m54.948s,PGC 09256,NGC 0926,UGC 01901      P,IRAS02235-0033,1.26,0.03,36.0,0.28,0.04,0226 6.7-001955 N,"NOPA,OFFSET 2389.9 arcsec,PANedMed,",0.91,0.477,36.0,0.021418
02h26m19.2048s -01d33m05.796s,PGC 09269,,UGC 01905      U,,0.96,0.09,,0.06,0.03,022619.1-013306,"NOPA,OFFSET 1.6 arcsec,PANedMed,",0.456,0.397,80.0,0.020091
02h26m28.3s +01d09m37s,PGC 09283,IC 0225,UGC 01907      U,MK 1038,0.83,0.09,,0.05,0.07,022628.3+010937 I,"NOPA,PANedMed,",0.338,0.301,165.0,0.00512
02h27m00.1992s -02d41m42s,PGC 09321,,E,,1.07,0.09,,0.82,0.08,022700.3-024142,"NOPA,OFFSET 1.5 arcsec,NedNoPA,HANDADJ PA,",0.587,0.089,70.0,0.01495
02h27m17.5608s -03d53m58.2s,PGC 09333,,MCG -01-07-013 E,,1.04,0.07,,0.1,0.05,022723.8-035735,"NOPA,OFFSET 236.1 arcsec,PANedMed,",0.548,0.435,65.0,0.043634
02h27m25.5456s +02d06m18.108s,PGC 09347,,UGC 01923      U,,0.93,0.07,,0.29,0.05,022725.6+020619,"NOPA,OFFSET 1.2 arcsec,NedNoPA,HANDADJ PA,",0.426,0.218,30.0,0.009593
02h27m32.928s -00d14m40.344s,PGC 09352,NGC 0934,UGC 01926      U,,1.13,0.07,130.0,0.17,0.04,022732.9-001440 N,"NOPA,OFFSET 1760.3 arcsec,PANedMed,",0.674,0.456,122.0,0.021191
02h27m37.4592s -01d09m22.608s,PGC 09359,NGC 0936,UGC 01929      R,,1.67,0.02,135.0,0.06,0.02,022737.4-010921 N,"NOPA,OFFSET 1.8 arcsec,PANedMed,",2.339,2.037,105.0,0.00477
02h27m51.4s +00d30m06s,PGC 09376,,UGC 01934      U,,1.16,0.04,112.0,0.7,0.04,022751.4+003006,"NOPA,PANedMed,",0.723,0.144,115.0,0.040945
01h06m23.931s -00d08m41.66s,,Mrk 560,,,,,,,,,"Source Split from PGC 03922, Added Manually",0.582,0.477,120.0,0.0481
10h10m09.6s +54d30m06.984s,PGC 29584,,UGC 05479,,1.14,0.05,100.0,0.17,0.05,101009.6+543008,"OFFSET 1.0 arcsec,",0.69,0.467,100.0,0.003686
10h10m54.4s +45d57m01s,PGC 29646,NGC 3135,UGC 05486,,0.95,0.07,90.0,0.2,0.05,101054.4+455701 N,,0.446,0.281,90.0,0.024111
10h12m08.2704s +46d17m37.356s,PGC 29711,,UGC 05496      U,,1.1,0.05,152.0,0.68,0.05,101208.4+461737,"OFFSET 1.4 arcsec,",0.629,0.132,152.0,0.024229
10h15m42.2s +55d40m03s,PGC 29953,A 1012+55,CGCG 266-031   P,,,,,,,101542.2+554003 A,"LOGD25,NOAXIS,NOPA,PANedMed,",0.656,0.656,39.0,0.024197
10h16m28.2192s +45d19m17.724s,PGC 30005,A 1013+45,UGCA 208,MK 0140,0.54,0.11,,0.19,0.07,101628.4+451918 A,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.173,0.112,34.0,0.005515
10h16m58.7016s +49d37m37.884s,PGC 30031,,UGC 05545,IRAS10138+4952,0.97,0.07,130.0,0.1,0.05,101658.8+493736,"OFFSET 2.1 arcsec,",0.467,0.371,130.0,0.041561
10h17m05.1264s +54d49m13.8s,PGC 30036,,UGC 05546      U,,1.04,0.06,150.0,0.19,0.05,101705.3+544914,"OFFSET 1.5 arcsec,",0.548,0.354,150.0,0.03843
10h17m16s +53d27m43s,PGC 30044,,UGC 05549      U,,1.04,0.06,55.0,0.07,0.05,101716.0+532743,,0.548,0.467,55.0,0.045438
10h18m22.6752s +45d57m16.776s,PGC 30094,,UGC 05558      U,,1.04,0.06,12.0,0.67,0.05,101822.8+455716,"OFFSET 1.5 arcsec,",0.548,0.117,12.0,0.025244
10h19m05.1s +46d27m14s,PGC 30136,NGC 3191,UGC 05565      P,IRAS10160+4642,0.92,0.05,5.0,0.16,0.04,1019 5.1+462714 N,,0.416,0.288,5.0,0.030721
10h19m42.4488s +52d03m54.612s,PGC 30187,,UGC 05571      U,,1.07,0.14,172.0,0.5,0.12,101942.1+520352,"OFFSET 4.1 arcsec,",0.587,0.186,172.0,0.002208
10h19m55s +45d32m59s,PGC 30197,NGC 3198,UGC 05572      R,,1.93,0.01,35.0,0.41,0.02,101955.0+453259 N,,4.256,1.656,35.0,0.002202
10h21m55.5s +48d01m52.464s,PGC 30334,,UGC 05594      U,,1.04,0.06,122.0,0.58,0.05,102155.5+480151,"OFFSET 1.5 arcsec,",0.548,0.144,122.0,0.041542
10h22m40.7256s +46d14m19.32s,PGC 30386,A 1019+46,UGC 05604      U,,1.36,0.04,47.0,0.29,0.05,102240.9+461418 A,"OFFSET 2.2 arcsec,",1.145,0.587,47.0,0.016875
10h23m32.5416s +52d20m31.344s,PGC 30449,,UGC 05613      U,IRAS10203+5235,1.04,0.06,4.0,0.64,0.05,102332.5+522028,"OFFSET 3.4 arcsec,",0.548,0.126,4.0,0.032224
10h25m24.24s +55d31m30.0s,PGC 30579,A 1022+55,MCG +09-17-064 P,,0.99,0.1,,0.05,0.07,102524.3+553129 A,"NOPA,OFFSET 13.9 arcsec,NedNoPA,HANDADJ Coords Major Minor,",0.587,0.522,0.0,0.025421
10h25m31.2792s +51d40m34.86s,PGC 30597,,,MK 0142,,,,,,102531.4+514025,"LOGD25,NOAXIS,NOPA,OFFSET 9.9 arcsec,PANedMed,",0.656,0.656,31.0,0.044944
10h26m37.3992s +45d14m41.208s,PGC 30680,,UGC 05650      U,,1.02,0.06,52.0,0.81,0.05,102637.6+451440,"OFFSET 2.4 arcsec,",0.524,0.081,52.0,0.027019
10h26m53.9688s +44d00m24.408s,PGC 30702,A 1023+44,MCG +07-22-006,MK 0144,0.73,0.09,,0.04,0.06,102653.8+440022 A,"NOPA,OFFSET 3.0 arcsec,PANedMed,",0.269,0.245,143.0,0.02753
10h27m01.9776s +56d16m13.98s,PGC 30715,A 1023+56,UGCA 211       R,MK 0032,0.54,0.19,,0.25,0.09,102702.1+561609 A,"NOPA,OFFSET 5.1 arcsec,PANedMed,",0.173,0.097,177.0,0.002779
10h28m10.2s +49d58m37s,PGC 30795,,UGC 05668      U,,1.07,0.07,5.0,0.21,0.06,102810.2+495837,,0.587,0.362,5.0,0.062701
10h29m05.3208s +54d43m05.016s,PGC 30871,,UGC 05676      U,,1.13,0.07,15.0,0.18,0.06,102904.6+544259,"OFFSET 8.7 arcsec,",0.674,0.446,15.0,0.004763
10h30m09.6144s +44d07m20.748s,PGC 30971,,UGC 05698      U,,1.28,0.04,127.0,0.95,0.05,103009.7+440720,"OFFSET 1.2 arcsec,",0.953,0.107,127.0,0.029
10h30m34.4s +53d30m37s,PGC 31003,,UGC 05703      U,,1.06,0.06,,0.12,0.05,103034.4+533037,"NOPA,PANedMed,",0.574,0.435,96.0,0.062471
10h31m45.0504s +46d40m18.084s,PGC 31083,,UGC 05714      U,IRAS10287+4655,0.98,0.07,85.0,0.1,0.05,103145.2+464017,"OFFSET 1.9 arcsec,",0.477,0.379,85.0,0.024804
10h32m19.6992s +56d05m07.008s,PGC 31125,NGC 3264,UGC 05719      U,IRAS10291+5620,1.46,0.04,177.0,0.37,0.06,103219.6+560500 N,"OFFSET 7.1 arcsec,",1.442,0.615,177.0,0.003139
10h32m31.9968s +54d24m02.052s,PGC 31141,A 1029+54,UGC 05720      R,MK 0033,1.0,0.06,,0.03,0.05,103232.0+542404 A,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.5,0.467,136.0,0.004769
10h34m15.1584s +52d52m14.988s,PGC 31269,,UGC 05734      U,,1.19,0.05,156.0,0.71,0.05,103415.1+525216,"OFFSET 1.1 arcsec,",0.774,0.151,156.0,0.023756
10h34m45.7992s +50d46m05.988s,PGC 31307,,UGC 05740      U,,1.24,0.05,140.0,0.16,0.05,103445.7+504608,"OFFSET 2.2 arcsec,",0.869,0.601,140.0,0.002165
10h35m04.8432s +46d33m41.22s,PGC 31331,A 1032+46,UGC 05744,MK 0146,0.77,0.08,110.0,0.05,0.04,103505.0+463340 A,"OFFSET 2.0 arcsec,",0.294,0.262,110.0,0.011232
10h35m08.5896s +45d05m04.704s,PGC 31336,,UGC 05746      U,,1.16,0.05,40.0,0.2,0.05,103508.7+450504,"OFFSET 1.4 arcsec,",0.723,0.456,40.0,0.025174
10h35m34.8624s +44d18m57.024s,PGC 31376,A 1032+44,UGC 05747      R,MK 0148,0.94,0.06,133.0,0.63,0.05,103535.0+441856 A,"OFFSET 1.8 arcsec,",0.435,0.102,133.0,0.024058
10h38m37.248s +44d31m23.088s,PGC 31639,A 1035+44,MCG +08-20-002,MK 0150,0.63,0.09,,0.24,0.06,103836.9+443116 A,"NOPA,OFFSET 8.0 arcsec,PANedMed,",0.213,0.123,100.0,0.012343
10h38m45.8592s +53d30m12.168s,PGC 31650,NGC 3310,UGC 05786      R,ARP 217,1.49,0.02,57.0,0.11,0.03,103845.9+533010 N,"OFFSET 2.2 arcsec,",1.545,1.199,57.0,0.003312
10h39m26.8896s +47d56m49.596s,PGC 31697,,UGC 05791,,1.13,0.07,43.0,0.55,0.06,103927.0+475648,"OFFSET 1.9 arcsec,",0.674,0.19,43.0,0.002862
10h39m36.5s +47d23m52s,PGC 31708,NGC 3320,UGC 05794      R,IRAS10366+4739,1.34,0.03,20.0,0.35,0.03,103936.5+472352 N,,1.094,0.489,20.0,0.007775
10h39m46.8192s +47d55m54.084s,PGC 31720,,UGC 05798,,1.0,0.06,45.0,0.61,0.05,103946.8+475551,"OFFSET 3.1 arcsec,",0.5,0.123,45.0,0.00506
