Coords,PGC,Name1,Name2,Name3,logD25,logD25err,RC3PA,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,SemiMinorAxis,PositionAngle,NEDRedshift
00h37m35.8056s +00d16m50.484s,PGC 02243,,MCG +00-02-094,MK 0955,0.82,0.13,,0.17,0.07,003735.9+001650,"NOPA,OFFSET 1.5 arcsec,PANedMed,",0.33,0.223,109.0,0.035001
00h38m12.4s +02d43m42s,PGC 02279,NGC 0182,UGC 00382      P,,1.3,0.03,75.0,0.08,0.04,003812.4+024342 N,"NOPA,PANedMed,",0.998,0.83,75.0,0.017549
00h38m25.3s +03d09m59s,PGC 02291,NGC 0186,UGC 00390      U,,1.14,0.04,23.0,0.22,0.04,003825.3+030959 N,"NOPA,PANedMed,",0.69,0.416,24.0,0.015551
00h39m13.4s +00d51m51s,PGC 02352,NGC 0192,UGC 00401      U,IRAS00366+0035,1.28,0.03,167.0,0.33,0.04,003913.4+005151 N,"NOPA,PANedMed,",0.953,0.446,165.0,0.013787
00h39m17.8392s +00d54m45.936s,PGC 02357,NGC 0196,UGC 00405      U,HICK 007B,1.13,0.07,15.0,0.22,0.04,003917.8+005445 N,"NOPA,OFFSET 1.1 arcsec,PANedMed,",0.674,0.406,5.0,0.014193
00h39m18.6s +03d19m52s,PGC 02359,NGC 0193,UGC 00408      P,,1.16,0.08,55.0,0.08,0.05,003918.6+031952 N,"NOPA,PANedMed,",0.723,0.601,70.0,0.014723
00h39m18.4s +03d02m14s,PGC 02362,NGC 0194,UGC 00407      P,,1.19,0.06,30.0,0.04,0.04,003918.4+030214 N,"NOPA,PANedMed,",0.774,0.706,30.0,0.017439
00h39m18.8s +00d53m31s,PGC 02365,NGC 0197,UGC 00406      E,HICK 007D,1.07,0.06,5.0,0.16,0.05,003918.8+005331 N,"NOPA,PANedMed,",0.587,0.406,22.0,0.013746
00h39m18.6384s +03d57m10.368s,PGC 02366,,UGC 00402      U,MK 0554,1.11,0.1,20.0,0.1,0.05,003918.8+035709,"NOPA,OFFSET 2.8 arcsec,PANedMed,",0.644,0.512,50.0,0.017649
00h39m23s +02d47m52s,PGC 02371,NGC 0198,UGC 00414      R,IRAS00367+0231,1.09,0.04,80.0,0.02,0.04,003923.0+024752 N,"NOPA,PANedMed,",0.615,0.587,35.0,0.017596
00h39m33.2s +03d08m18s,PGC 02382,NGC 0199,UGC 00415      U,,1.09,0.06,160.0,0.23,0.03,003933.2+030818 N,"NOPA,PANedMed,",0.615,0.362,162.0,0.015351
00h39m33.0072s +03d56m00.276s,PGC 02384,,UGC 00416      U,,1.06,0.08,10.0,0.1,0.06,003933.0+035559,"NOPA,OFFSET 1.3 arcsec,PANedMed,",0.574,0.456,10.0,0.015838
00h39m34.9s +02d53m14s,PGC 02387,NGC 0200,UGC 00420      R,IRAS00370+0236,1.27,0.03,161.0,0.28,0.03,003934.9+025314 N,"NOPA,PANedMed,",0.931,0.489,148.0,0.017242
00h39m34.8s +00d51m35s,PGC 02388,NGC 0201,UGC 00419      U,IRAS00370+0035,1.26,0.03,155.0,0.1,0.04,003934.8+005135 N,"NOPA,PANedMed,",0.91,0.723,150.0,0.014728
00h39m39.5s +03d26m34s,PGC 02393,NGC 0203,MCG +00-02-114 E,,0.93,0.08,85.0,0.49,0.05,003939.5+032634 N,"NOPA,PANedMed,",0.426,0.138,80.0,0.017415
00h39m39.9s +03d32m10s,PGC 02394,NGC 0202,UGC 00421      E,,0.95,0.06,153.0,0.49,0.04,003939.9+033210 N,"NOPA,PANedMed,",0.446,0.144,151.0,0.013316
00h39m44.3s +03d17m58s,PGC 02397,NGC 0204,UGC 00423      E,,1.08,0.06,30.0,0.02,0.05,003944.3+031758 N,"NOPA,PANedMed,",0.601,0.574,20.0,0.017986
00h40m17.58s +02d45m23.4s,PGC 02420,NGC 0208,MCG +00-02-118 E,,0.87,0.08,,0.03,0.05,004017.6+024522 N,"NOPA,OFFSET 1.4 arcsec,PANedMed,",0.371,0.346,150.0,0.017072
00h40m29.1s +03d15m24.696s,PGC 02435,,UGC 00430      U,,1.09,0.07,44.0,0.59,0.03,004029.1+031523,"NOPA,OFFSET 1.7 arcsec,PANedMed,NedNoRedshift,",0.615,0.158,44.0,nan
00h40m37.8528s -00d19m50.412s,PGC 02440,IC 1571,UGC 00432      U,,1.06,0.06,0.0,0.1,0.05,004037.9-001950 I,"NOPA,OFFSET 2380.4 arcsec,PANedMed,",0.574,0.456,23.0,0.019523
00h41m21.6s -01d42m58s,PGC 02472,A 0038-01,UGC 00439      U,,1.05,0.05,170.0,0.02,0.04,004121.6-014258 A,"NOPA,PANedMed,",0.561,0.536,160.0,0.017669
00h41m17.2008s +03d30m11.016s,PGC 02473,,UGC 00437      U,,0.96,0.09,,0.0,0.06,004117.4+033013,"NOPA,OFFSET 3.6 arcsec,NedNoPA,HANDADJ PA Major Minor,",1.0,0.91,40.0,0.015577
00h42m11.3s +00d54m16s,PGC 02522,NGC 0219,MCG +00-02-128 E,,0.73,0.14,60.0,0.03,0.05,004211.3+005416 N,"NOPA,PANedMed,",0.269,0.251,166.0,0.018252
00h42m15.9s +00d50m43s,PGC 02527,NGC 0223,UGC 00450      E,,1.1,0.05,62.0,0.17,0.05,004215.9+005043 N,"NOPA,PANedMed,",0.629,0.426,62.0,0.017772
