Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
01h11m30.7656s +01d19m16.068s,PGC 04275,,UGC 00749      U,ARAK 033,.S..8*.,,1.00,.07,136,.47,.05,011131.0+011916,"OFFSET 1.109 arcsec,PANedMedian,HANDADJ PA Major Minor,",0.7,141.0,0.2366
01h11m46.5528s -00d39m51.696s,PGC 04292,IC 1639,UGC 00750      E,MK 0562,.P...?.,,.75,.09,100,.03,.05,011146.6-003951 I,"LOGD25,NOPA,NOAXIS,OFFSET 11.876 arcsec,PANedMedian,PANedMedian,",0.28117066259517454,155.0,0.26240373012488627
01h11m49.9344s -01d39m18.252s,PGC 04295,A 0109-01,E,MK 0563,.L...*/,,.79,.13,15,.66,.08,011150.1-013920 A,"OFFSET 1.228 arcsec,PANedMedian,",0.3082975009307411,10.0,0.06744814412958268
01h12m31.4s -02d47m36s,PGC 04347,NGC 0413,MCG -01-04-013 E,,.SBR5*.,,1.05,.06,,.19,.05,011231.4-024736 N,"NOPA,OFFSET 1.693 arcsec,PANedMedian,PANedMedian,",0.5610092271509818,40.0,0.362217980037495
01h12m48.6072s -00d17m24.684s,PGC 04363,NGC 0426,UGC 00760      U,,.E+....,13.8,1.14,.07,140,.14,.04,011248.6-001724 N,"LOGD25,NOPA,NOAXIS,PANedMedian,PANedMedian,",0.6901921323014423,145.0,0.49999999999999994
01h12m55.7088s +00d58m53.616s,PGC 04367,NGC 0428,UGC 00763      R,IRAS01103+0043,.SXS9..,11.91M,1.61,.02,120,.12,.03,011255.8+005853 N,"LOGD25,NOPA,NOAXIS,PANedMedian,PANedMedian,",2.036901389020564,107.0,1.5451477162567955
01h12m57.4248s -00d20m41.964s,PGC 04368,NGC 0429,UGC 00762      U,,.L..0*/,,1.14,.06,19,.67,.03,011257.4-002042 N,"PANedMedian,",0.6901921323014423,19.0,0.14756046133331924
01h12m59.928s -00d15m09s,PGC 04376,NGC 0430,UGC 00765      U,,.E...*.,13.5,1.12,.07,155,.08,.04,011259.9-001509 N,"LOGD25,NOPA,NOAXIS,PANedMedian,PANedMedian,",0.6591283692782037,155.0,0.5482390980715927
01h13m09.5928s +02d17m15.972s,PGC 04386,,UGC 00768,IRAS01105+0201,.L?....,,.96,.13,,.13,.05,011309.7+021715,"NOPA,OFFSET 26.245 arcsec,NedNoPA,PANedMedian,",0.4560054196779548,60.0,0.3380414876959909
01h13m41.8272s -00d06m09.828s,PGC 04415,,UGC 00771      U,,.S..2..,,1.03,.06,105,.27,.05,011341.9-000611,"NOPA,PANedMedian,PANedMedian,",0.5357596526188032,103.0,0.2877199686685784
