Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
00h46m05.4s -01d43m24s,PGC 02691,NGC 0245,UGC 00476      R,MK 0555,.SAT3P$,12.59V,1.14,.04,145,.06,.03,0046 5.4-014324 N,"NOPA,OFFSET 1.442 arcsec,PANedMedian,PANedMedian,",0.6901921323014423,145.0,0.6011322173087063
00h48m03.3s -02d46m31s,PGC 02820,NGC 0259,MCG -01-03-015 P,IRAS00455-0302,.S..4*/,,1.45,.03,140,.66,.04,0048 3.3-024631 N,"NOPA,PANedMedian,PANedMedian,",1.4091914656322269,140.0,0.30829750093074104
00h48m05.0904s -01d33m56.988s,PGC 02822,,UGC 00492      U,ARAK 014,.E+..*/,,1.08,.08,128,.24,.04,004805.2-013358,"PANedMedian,",0.6011322173087066,129.0,0.3459154854594683
00h48m53.2296s -02d22m55.092s,PGC 02861,A 0046-02,E,MK 0557,.I..9*.,15.06,.46,.16,,.08,.06,004853.8-022245 A,"DEC_ADJ,LOGD25,NOPA,NOAXIS,OFFSET 2.191 arcsec,PANedMedian,PANedMedian,",0.14420157515633028,90.0,0.11994164595097451
00h49m25.8792s -01d46m17.112s,PGC 02883,,UGC 00505      E,,.SBT4*.,,1.12,.04,135,.15,.04,004926.1-014616,"OFFSET 2.495 arcsec,PANedMedian,",0.6591283692782037,135.0,0.46662715039849567
00h49m35.7s +01d06m55s,PGC 02889,,UGC 00507      U,IRAS00470+0050,.S..6*/,,1.28,.04,128,.90,.04,004935.7+010655,"OFFSET 1.566 arcsec,PANedMedian,",0.9527303589816236,128.0,0.11994164595097451
00h50m03.5s -03d33m31s,PGC 02918,,MCG -01-03-016 E,,.SXT4..,,1.05,.06,,.10,.05,005003.5-033331,"OFFSET 2.104 arcsec,PANedMedian,",0.5610092271509818,55.0,0.4456254690668728
00h50m41.9s -01d54m37s,PGC 02949,NGC 0271,UGC 00519      U,IRAS00481-0210,PSBT2..,,1.33,.03,130,.10,.04,005041.9-015437 N,"NOPA,OFFSET 2.354 arcsec,PANedMedian,PANedMedian,",1.0689810447511163,65.0,0.8491218262308724
00h51m29.7s -03d08m02.004s,PGC 03012,,MCG -01-03-023,,.SB?...,,1.08,.09,,.42,.07,005129.6-030803,"OFFSET 1.181 arcsec,NedNoPA,HANDADJ Major Minor,",1.1,0.0,0.4
00h51m43.6992s +03d10m18.012s,PGC 03024,,UGC 00526      U,,.S..8*.,,.96,.09,94,.39,.06,005143.8+031019,"NOPA,OFFSET 1.441 arcsec,PANedMedian,PANedMedian,",0.4560054196779548,94.0,0.18576761454858623
00h51m49.9008s +03d06m20.988s,PGC 03031,,UGC 00527      U,,.S..9*.,,.97,.09,15,.17,.06,005149.9+030619,"NOPA,OFFSET 12.300 arcsec,NedNoPA,PANedMedian,",0.4666271503984955,15.0,0.3154786722400966
00h51m59.6208s -00d29m12.156s,PGC 03043,,MCG +00-03-018,ARAK 018,,15.25,.64,.17,,.28,.07,005159.8-002912,"OFFSET 1.644 arcsec,PANedMedian,",0.218257916120083,94.0,0.11454338263838865
00h52m09s -02d13m06s,PGC 03055,NGC 0279,UGC 00532      U,MK 0558,PLXR+P*,,1.21,.05,5,.12,.04,0052 9.0-021306 N,"NOPA,PANedMedian,PANedMedian,",0.8109050486794649,155.0,0.6151343854061907
00h52m17.2296s -03d57m59.796s,PGC 03062,,MCG -01-03-027 E,,.S..7?.,,1.17,.05,,.45,.05,005217.3-035804,"OFFSET 29.679 arcsec,NedNoPA,HANDADJ PA,",0.7395541940841036,20.0,0.26240373012488627
00h53m32.6808s +02d55m27.516s,PGC 03147,,UGC 00544      U,IRAS00509+0239,.S..5*/,,1.19,.04,42,.84,.04,005332.7+025526,"OFFSET 2.035 arcsec,PANedMedian,",0.7744083094562406,42.0,0.11193605692841699
00h54m21.396s -02d11m45.096s,PGC 03193,,E,,.S..7P/,,1.12,.08,173,.58,.08,005421.5-021143,"NOPA,OFFSET 2.003 arcsec,PANedMedian,PANedMedian,",0.6591283692782037,173.0,0.17336842522626592
00h55m08.9616s -01d02m47.328s,PGC 03266,,UGC 00568,,.L?....,,1.11,.16,,.15,.08,005509.1-010248,"OFFSET 2.029 arcsec,PANedMedian,",0.6441247758465671,72.0,0.456005419677955
00h55m18.9s -01d16m38s,PGC 03272,,CGCG 384-028,,,,,,,,,005518.9-011638,"NOPA,PANedMedian,PANedMedian,HANDADJ Major Minor,",0.6649999999999999,60.0,0.5433333333333333
00h55m54.4008s -00d55m18.012s,PGC 03312,,UGC 00570      U,,.E...*.,,1.04,.18,10,.18,.08,005554.3-005522,"NOPA,OFFSET 1.450 arcsec,PANedMedian,PANedMedian,",0.5482390980715925,10.0,0.36221798003749506
00h56m10.7s -01d07m01s,PGC 03340,,MCG +00-03-031,,,,,,,,,005610.7-010701,"OFFSET 4.230 arcsec,PANedMedian,",0.6560999495096017,55.0,0.6560999495096017
00h56m16.116s -01d15m19.332s,PGC 03342,,UGC 00579      U,,.E.....,14.39,1.16,.07,40,.08,.04,005616.2-011520,"OFFSET 1.382 arcsec,PANedMedian,",0.7227198853729636,39.0,0.6011322173087063
00h56m25.5936s -01d15m44.856s,PGC 03365,,UGC 00583      U,,.E...*.,,1.04,.18,,.00,.08,005625.7-011546,"PANedMedian,",0.5482390980715925,120.0,0.5482390980715925
00h56m32.6s -01d46m19s,PGC 03367,NGC 0307,UGC 00584      U,,.L..0*.,13.75,1.20,.06,85,.36,.04,005632.6-014619 N,"DEC_ADJ,NOPA,OFFSET 2.305 arcsec,PANedMedian,PANedMedian,",0.7924465962305567,82.0,0.3459154854594682
00h57m02.0496s -00d52m30.684s,PGC 03405,,UGC 00588,ARAK 022,.S?....,,.93,.08,,.02,.05,005702.1-005232,"PANedMedian,",0.4255690191011883,34.0,0.40641525808204965
00h57m34.9152s -01d23m27.924s,PGC 03444,,UGC 00595,,.S?....,,.94,.10,,.04,.06,005735.0-012329,"NOPA,OFFSET 1.374 arcsec,PANedMedian,PANedMedian,",0.43548179497804024,140.0,0.39716411736214063
00h57m45.1992s -00d24m56.016s,PGC 03451,,UGC 00599a     U,,.E...?.,,.66,.24,,.22,.07,005745.1-002510,"NedNoPA,",0.22854409480743754,0.0,0.13771143516690834
00h58m24.6s -01d23m41s,PGC 03492,,,,,14.73,,,,,,005824.6-012341,"OFFSET 5.159 arcsec,PANedMedian,HANDADJ Major Minor,",0.215,145.0,0.16833333333333333
00h58m48.9s +00d35m14s,PGC 03512,IC 1607,UGC 00611,,.S?....,,.95,.07,,.00,.05,005848.9+003514 I,"OFFSET 1.329 arcsec,PANedMedian,",0.4456254690668727,126.0,0.4456254690668727
00h59m04.1s +01d00m05s,PGC 03530,,,,,16.58,,,,,,005904.1+010005,"OFFSET 1.002 arcsec,PANedMedian,HANDADJ PA Major Minor,",0.17483333333333334,83.0,0.10883333333333334
00h59m42.1224s +00d54m59.76s,PGC 03566,,UGC 00618      U,,.S..6*.,,.98,.07,,.00,.05,005942.2+005460,"PANedMedian,",0.47749629301071794,121.0,0.47749629301071794
01h00m37.86s -01d41m54.8s,PGC 03614,,UGC 00626      U,,.SXS5..,,.93,.07,97,.03,.05,010038.0-014155,"NOPA,OFFSET 1.334 arcsec,PANedMedian,PANedMedian,HANDADJ Coords ,",0.4255690191011883,97.0,0.3971641173621408
01h01m46.08s +03d04m55.308s,PGC 03688,,UGC 00637      U,,.SB.6*.,,1.04,.06,157,.37,.05,010146.2+030454,"PANedMedian,",0.5482390980715925,81.0,0.23386757064359912
01h01m57.8s -01d56m12s,PGC 03693,NGC 0351,UGC 00639      U,,PSBR0*.,,1.16,.04,142,.27,.04,010157.8-015612 N,"OFFSET 10.758 arcsec,PANedMedian,",0.7227198853729636,133.0,0.38812355831434575
01h02m24.5304s -01d57m31.896s,PGC 03714,NGC 0353,UGC 00641      U,IRAS00598-0213,.SB.1P*,,1.11,.05,26,.48,.04,010224.6-015727 N,"OFFSET 2.317 arcsec,PANedMedian,",0.6441247758465671,20.0,0.2132897594007964
01h03m10.4304s -03d36m36.612s,PGC 03757,,MCG -01-03-079,MK 0970,.L?....,,1.12,.12,,.05,.07,010310.7-033633,"PANedMedian,",0.6591283692782037,105.0,0.587448777469765
01h03m38.82s -00d29m27.888s,PGC 03781,,UGC 00651      U,,.S..6*.,,1.02,.06,165,.56,.05,010338.9-002928,"NOPA,PANedMedian,PANedMedian,",0.5235642740254498,165.0,0.1442015751563303
01h03m44.5392s +02d16m59.016s,PGC 03789,,UGC 00656,,.SB?...,,.93,.09,115,.24,.06,010344.7+021658,"PANedMedian,",0.4255690191011883,120.0,0.24488940968422312
01h04m16.9656s -00d45m53.64s,PGC 03817,NGC 0359,UGC 00662      U,,.L..-*.,,1.18,.08,135,.15,.05,010417.0-004553 N,"PANedMedian,",0.756780624218104,137.0,0.5357596526188031
01h04m25.2768s -00d11m14.712s,PGC 03830,,UGC 00663      U,,.E.....,,1.04,.13,7,.32,.06,010425.4-001115,"PANedMedian,",0.5482390980715925,10.0,0.2624037301248863
01h04m40.8312s -00d48m09.864s,PGC 03833,NGC 0364,UGC 00666      U,,RLBS0*.,,1.15,.07,30,.05,.04,010440.8-004809 N,"OFFSET 2.694 arcsec,PANedMedian,",0.706268772311377,45.0,0.6294627058970834
01h04m51.372s +02d07m45.048s,PGC 03844,IC 1613,UGC 00668      P,DDO 008,.IBS9..,9.88M,2.21,.01,50,.05,.03,010447.8+020704 I,"PANedMedian,HANDADJ Coords Major Minor,",12.0,10.0,12.0
01h06m07.1736s +00d46m33.636s,PGC 03904,,UGC 00675      U,,.I..9*.,,1.03,.08,,.00,.06,010607.3+004634,"NOPA,PANedMedian,PANedMedian,",0.5357596526188032,127.0,0.5357596526188032
01h06m14.0304s +03d34m27.912s,PGC 03910,,UGC 00678      U,,.SAT7*.,,1.20,.05,65,.08,.04,010614.0+033427,"LOGD25,NOPA,NOAXIS,PANedMedian,PANedMedian,",0.7924465962305567,75.0,0.6591283692782035
01h06m33.5016s -00d08m01.86s,PGC 03922,,CGCG 384-073,MK 0560,,,,,,,,010624.1-000839,"NOPA,OFFSET 189.804 arcsec,PANedMedian,PANedMedian,HANDADJ Coords PA Major Minor",0.40299999999999997,15.0,0.12433333333333334
01h06m30.9792s -02d11m48.012s,PGC 03928,,MCG +00-03-073 E,,.SBT6..,,1.12,.04,140,.09,.04,010630.8-021149,"PANedMedian,",0.6591283692782037,70.0,0.5357596526188033
01h07m22.6s +00d55m33s,PGC 03976,NGC 0391,UGC 00693      U,,PLA.-*.,,.95,.08,45,.09,.04,010722.6+005533 N,"OFFSET 2.285 arcsec,PANedMedian,",0.4456254690668727,44.0,0.36221798003749495
01h07m46.44s +01d03m49.212s,PGC 04013,,UGC 00695,,.S?....,,1.04,.06,,.07,.05,010746.6+010349,"OFFSET 1.454 arcsec,NedNoPA,",0.5482390980715925,0.0,0.46662715039849556
01h07m56.1s +02d32m45s,PGC 04017,,UGC 00698      U,,.S..2..,,1.09,.06,86,.53,.05,010756.1+023245,"OFFSET 1.184 arcsec,PANedMedian,",0.6151343854061909,88.0,0.18153902738505073
01h08m40.0728s +01d21m24.84s,PGC 04059,,UGC 00709      U,,.S..8..,,1.04,.06,142,.36,.05,010840.2+012124,"OFFSET 1.489 arcsec,PANedMedian,",0.5482390980715925,142.0,0.23931504616131918
01h08m36.9s +01d38m30.012s,PGC 04063,A 0106+01,UGC 00711      U,,.SBS7?/,,1.56,.03,118,.98,.04,010837.3+013826 A,"PANedMedian,",1.815390273850507,118.0,0.19009469816028063
01h09m41.5s -02d16m00s,PGC 04143,,MCG -01-04-005 E,,.IBS9*.,,1.14,.05,10,.27,.04,010941.5-021600,"NOPA,PANedMedian,PANedMedian,",0.6901921323014423,10.0,0.37065512065045864
01h09m57.5592s -01d44m58.884s,PGC 04151,,UGC 00726      U,,.SBS7?.,,1.20,.04,144,.24,.04,010957.6-014457,"OFFSET 1.517 arcsec,PANedMedian,",0.7924465962305567,144.0,0.4560054196779548
01h10m22.32s +03d31m10.308s,PGC 04178,,UGC 00729      E,,.L.....,,.83,.08,140,.23,.05,011022.4+033109,"OFFSET 2.002 arcsec,PANedMedian,",0.33804148769599085,140.0,0.19905358527674857
01h10m38.2536s -00d16m41.052s,PGC 04195,,UGC 00734,,.S?....,,1.02,.06,175,.60,.05,011038.4-001642,"NOPA,OFFSET 2.260 arcsec,PANedMedian,PANedMedian,",0.5235642740254498,177.0,0.1315133995947691
01h10m49.0392s -01d45m24.084s,PGC 04214,,UGC 00736      U,,.S..6*.,*,1.10,.05,125,.14,.05,011049.2-014525,"PANedMedian,",0.6294627058970838,150.0,0.456005419677955
