Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
12h27m47.9976s +50d23m16.332s,PGC 40918,,UGC 07582      U,,.SB.3..,,1.04,.06,177,.43,.05,122748.2+502315,"OFFSET 2.350 arcsec,",0.5482390980715925,177.0,0.2036901389020564
12h28m11.1s +44d05m37s,PGC 40973,NGC 4449,UGC 07592      R,,.IB.9..,9.99,1.79,.01,45,.15,.02,122811.1+440537 N,,3.082975009307411,45.0,2.18257916120083
12h28m15.2352s +44d27m11.304s,PGC 40986,A 1225+44,UGC 07593a+b,,.S?....,,.94,.11,,.47,.07,122814.8+442711 A,"NOPA,OFFSET 4.670 arcsec,NedNoPA,HANDADJ Major Minor,",0.75,0.0,0.75
12h28m45.6s +44d51m51s,PGC 41069,NGC 4460,UGC 07611      R,,.LBS+$/,11.61V,1.60,.03,40,.53,.03,122845.6+445151 N,,1.9905358527674866,40.0,0.5874487774697649
12h29m06.24s +44d39m18.9s,PGC 41119,,UGC 07617      U,,.S..7..,,1.39,.04,68,1.00,.05,122906.4+443919,"OFFSET 1.710 arcsec,",1.2273544578425148,68.0,0.1227354457842515
12h29m53.4s +47d31m51.996s,PGC 41239,,UGC 07639      U,,.I..9..,,1.36,.05,153,.15,.06,122953.3+473152,"OFFSET 1.013 arcsec,",1.1454338263838868,153.0,0.8109050486794652
12h31m06.7776s +52d24m51.66s,PGC 41400,,UGC 07661      U,,PSBS3..,,1.09,.06,50,.31,.05,123107.0+522451,"OFFSET 2.139 arcsec,",0.6151343854061909,50.0,0.301279793037179
12h31m51.828s +52d24m02.34s,PGC 41513,,MCG +09-21-011,,.S?....,,.94,.11,,.05,.07,123152.0+522400,"NOPA,OFFSET 2.820 arcsec,PANedMedian,",0.43548179497804024,118.0,0.3881235583143458
12h32m34.7544s +45d46m03.576s,PGC 41591,A 1230+46,MCG +08-23-052,MK 0215,,,.52,.20,,.00,.07,123235.1+454601 A,"NOPA,OFFSET 4.440 arcsec,PANedMedian,",0.16556556074129555,136.0,0.16556556074129555
12h33m13.3s +51d46m34s,PGC 41679,A 1230+52,,MK 0216,,,,,,,,123313.3+514634 A,"LOGD25,NOPA,NOAXIS,PANedMedian,",0.6560999495096017,41.0,0.6560999495096017
12h33m45s +52d15m17s,PGC 41739,IC 0801,UGC 07717      U,,.S..1?.,,1.08,.06,55,.08,.05,123345.0+521517 I,,0.6011322173087066,55.0,0.5000000000000001
12h34m46.7832s +47d45m32.148s,PGC 41869,A 1232+48,MCG +08-23-061,1ZW 039,.L?....,,,,,,,123446.8+474531 A,"LOGD25,NOPA,NOAXIS,OFFSET 1.160 arcsec,PANedMedian,",0.6560999495096017,84.0,0.6560999495096017
12h36m00.1s +54d13m15s,PGC 42007,NGC 4566,UGC 07769      R,,.S.....,13.8,1.10,.04,80,.15,.04,1236 0.1+541315 N,,0.6294627058970838,80.0,0.4456254690668729
12h38m37.26s +55d55m32.592s,PGC 42259,A 1236+56,UGCA 291       R,MK 0219,.P.....,15.6,.54,.19,,.30,.09,123836.5+555538 A,"NOPA,OFFSET 8.369 arcsec,PANedMedian,",0.17336842522626583,169.0,0.0868900414374688
12h39m33.6024s +47d37m23.772s,PGC 42362,,UGC 07823      U,,.S..6*.,,1.02,.06,75,.40,.05,123933.7+473722,"OFFSET 2.028 arcsec,",0.5235642740254498,75.0,0.2084346917351677
12h39m38.9328s +44d49m14.448s,PGC 42380,,UGC 07827      U,,.I..9*.,,1.09,.06,122,.23,.05,123939.0+444913,"OFFSET 1.615 arcsec,",0.6151343854061909,122.0,0.3622179800374951
12h41m05.9s +50d23m36s,PGC 42530,NGC 4617,UGC 07847      U,,.S..3..,,1.47,.03,179,.74,.04,1241 5.9+502336 N,,1.4756046133331928,179.0,0.26851589818512633
12h42m42.7s +55d08m43s,PGC 42708,NGC 4644,UGC 07887      U,,.SB.3*.,14.6,1.21,.06,53,.51,.06,124242.7+550843 N,,0.8109050486794649,53.0,0.2505936168136361
12h42m52.6512s +55d08m44.916s,PGC 42725,,MCG +09-21-032,,.S?....,,1.04,.09,47,.78,.07,124252.8+550843,"OFFSET 2.302 arcsec,HANDADJ PA,",0.5482390980715925,137.0,0.09098504293049917
12h42m52.1s +54d51m21s,PGC 42740,NGC 4646,UGC 07892,,.L?....,14.4,.78,.13,18,.29,.04,124252.1+545121 N,,0.3012797930371789,18.0,0.15451477162567956
12h43m45.0168s +53d57m32.004s,PGC 42832,,UGC 07903      U,,.I..9*.,,.96,.09,,.00,.06,124345.3+535733,"NOPA,OFFSET 2.691 arcsec,NedNoPA,",0.4560054196779548,0.0,0.4560054196779548
12h43m49.4184s +54d54m17.82s,PGC 42841,A 1241+55A,UGC 07905a     R,MK 0220,.S...?P,,,,166,,,124347.9+545346 A,"LOGD25,NOAXIS,OFFSET 34.410 arcsec,",0.6560999495096017,166.0,0.6560999495096017
12h43m47.9376s +54d53m45.492s,PGC 42844,A 1241+55B,UGC 07905b     R,MK 0221,.P.....,,.99,.10,100,.24,.07,124349.4+545418 A,"OFFSET 34.869 arcsec,",0.48861861047790534,100.0,0.28117066259517454
12h44m06.96s +45d00m19.548s,PGC 42874,,UGC 07910      H,VV 493,.SBS8..,,1.04,.09,,.14,.07,124407.1+450018,"NOPA,OFFSET 2.145 arcsec,NedNoPA,",0.5482390980715925,0.0,0.3971641173621408
12h44m32.4936s +56d09m00.648s,PGC 42919,A 1242+56,UGC 07922      U,,.SB.4?.,,1.24,.06,136,.72,.06,124432.4+560900 A,"OFFSET 1.016 arcsec,",0.8689004143746877,136.0,0.16556556074129555
12h44m46.5408s +54d52m33.24s,PGC 42942,NGC 4669,UGC 07925      R,,.S.....,14.1,1.16,.05,177,.60,.05,124446.8+545232 N,"OFFSET 2.558 arcsec,",0.7227198853729636,177.0,0.18153902738505065
12h45m31.9s +54d44m15s,PGC 42998,NGC 4675,UGC 07935      U,IRAS12432+5500,.SB.3*.,,1.13,.05,97,.51,.05,124531.9+544415 N,,0.6744814412958267,97.0,0.20843469173516765
12h45m44.0808s +47d05m54.492s,PGC 43025,A 1243+47,,MK 0222,,,,,,,,124543.8+470604 A,"LOGD25,NOPA,NOAXIS,OFFSET 9.931 arcsec,NedNoPA,",0.6560999495096017,0.0,0.6560999495096017
12h46m00.1008s +45d12m00s,PGC 43044,,UGC 07936a,VV 465,.SBS7P.,,1.04,.09,,.00,.07,124558.5+451156,"NOPA,OFFSET 17.386 arcsec,NedNoPA,HANDADJ Major Minor,",0.75,0.0,0.75
12h46m11.1s +46d43m38.496s,PGC 43064,,UGC 07940      U,,.S..8*.,,1.06,.06,23,.39,.05,124611.1+464336,"OFFSET 2.496 arcsec,",0.5740768107484414,23.0,0.2338675706435991
12h46m23.3352s +48d14m06.684s,PGC 43081,A 1244+48,MCG +08-23-092 R,MK 0224,.S...$.,,.90,.08,53,.57,.06,124622.7+481411 A,"OFFSET 7.675 arcsec,",0.39716411736214075,53.0,0.10689810447511161
12h46m39.9s +54d32m03s,PGC 43101,NGC 4686,UGC 07946      U,,.S..1..,13.6,1.31,.04,3,.55,.05,124639.9+543203 N,,1.0208689723347648,3.0,0.2877199686685785
12h46m56.4504s +51d36m46.584s,PGC 43124,A 1244+51,UGC 07950      U,,.I..9..,15.1,1.11,.07,5,.11,.06,124656.5+513643 A,"OFFSET 3.614 arcsec,",0.6441247758465671,5.0,0.5000000000000001
12h47m17.796s +47d09m41.796s,PGC 43150,A 1245+47,,MK 0225,,,,,,,,124717.9+470939 A,"LOGD25,NOPA,NOAXIS,OFFSET 2.990 arcsec,PANedMedian,",0.6560999495096017,11.0,0.6560999495096017
12h47m32.1s +54d22m29s,PGC 43173,NGC 4695,UGC 07966      R,,.S.....,,1.04,.06,80,.22,.05,124732.1+542229 N,,0.5482390980715925,80.0,0.33034672400379805
12h48m09.2496s +54d01m28.884s,PGC 43240,A 1246+54,CGCG 270-024,,,,,,,,,124809.1+540121 A,"LOGD25,NOPA,NOAXIS,OFFSET 7.993 arcsec,PANedMedian,",0.6560999495096017,79.0,0.6560999495096017
12h48m22.8672s +51d09m52.884s,PGC 43255,NGC 4707,UGC 07971      U,DDO 150,.S..9*.,13.4,1.35,.04,25,.03,.05,124823.0+510958 N,"OFFSET 5.266 arcsec,",1.11936056928417,25.0,1.0446480654270198
12h48m46.464s +47d42m53.568s,PGC 43289,A 1246+47,MCG +08-23-094,MK 0229,.S?....,,.94,.11,,.85,.07,124846.6+474250 A,"NOPA,OFFSET 3.823 arcsec,PANedMedian,HANDADJ Major Minor,",0.1713333333333333,66.0,0.14033333333333334
12h50m07.1s +52d51m00s,PGC 43430,NGC 4732,UGC 07988      U,,.E.....,,1.08,.17,8,.29,.08,1250 7.1+525100 N,,0.6011322173087066,8.0,0.3082975009307412
12h50m31.5792s +52d07m22.512s,PGC 43452,A 1248+52,UGC 07993      U,,.S..6*.,,1.33,.04,144,.90,.05,125031.7+520721 A,"OFFSET 1.877 arcsec,",1.0689810447511163,144.0,0.1345767401963458
12h50m59.5s +47d40m17s,PGC 43504,NGC 4741,UGC 08000      U,,.S..6*.,,1.13,.05,165,.28,.05,125059.5+474017 N,,0.6744814412958267,165.0,0.35397289219206884
12h51m16.5s +53d41m46s,PGC 43533,IC 0830,UGC 08003,,.S?....,,.90,.07,165,.25,.05,125116.5+534146 I,,0.39716411736214075,165.0,0.22334179607548155
12h52m03.6s +51d40m48s,PGC 43634,,UGC 08012,,.S?....,,.87,.08,115,.20,.05,125203.6+514048,,0.37065512065045875,115.0,0.2338675706435991
12h54m37.8s +46d31m52s,PGC 43931,NGC 4800,UGC 08035      R,ARAK 393,.SAT3..,12.3,1.20,.03,25,.13,.03,125437.8+463152 N,,0.7924465962305567,25.0,0.5874487774697648
12h55m24.8472s +52d16m03.72s,PGC 44032,,UGC 08050      U,,.SBT4..,,1.10,.05,,.02,.05,125525.0+521602,"NOPA,OFFSET 2.219 arcsec,PANedMedian,",0.6294627058970838,28.0,0.6011322173087066
12h56m48.3s +48d17m48.804s,PGC 44188,NGC 4837,UGC 08068a+b   R,1ZW 046,.P.....,,1.06,.06,70,.35,.05,125649.1+481755 N,"OFFSET 10.105 arcsec,",0.5740768107484414,70.0,0.25643069199568247
12h59m39.78s +53d20m28.212s,PGC 44641,,UGC 08107      U,IRAS12574+5336,.IB.9*.,,1.36,.04,53,.37,.05,125939.8+532027,"OFFSET 1.225 arcsec,",1.1454338263838868,53.0,0.4886186104779055
13h00m55.6s +47d13m19s,PGC 44838,NGC 4917,UGC 08130      U,,PSBS3..,,1.16,.05,160,.16,.05,130055.6+471319 N,,0.7227198853729636,160.0,0.49999999999999994
13h01m17.5608s +48d03m38.016s,PGC 44883,A 1259+48,MCG +08-24-024,MK 0237,.S?....,,.89,.11,,.24,.07,130116.4+480339 A,"NOPA,OFFSET 11.679 arcsec,NedNoPA,HANDADJ Major Minor,",0.5,0.0,0.5
13h01m37.9s +54d23m25s,PGC 44913,,UGC 08143      U,,.S..4..,,.94,.07,150,.24,.05,130137.9+542325,,0.43548179497804024,150.0,0.25059361681363607
13h02m37.7s +50d26m18s,PGC 45015,NGC 4932,UGC 08150      U,,.SAR5..,,1.18,.05,,.06,.05,130237.7+502618 N,"NOPA,PANedMedian,",0.756780624218104,140.0,0.6591283692782034
13h02m57.6s +51d19m06s,PGC 45044,NGC 4938,MCG +09-21-091,,.S?....,,.89,.11,,.07,.07,130257.6+511906 N,"NOPA,PANedMedian,",0.38812355831434586,34.0,0.330346724003798
13h03m16.1112s +50d37m14.7s,PGC 45085,,UGC 08162      U,,.S..6*.,,1.04,.15,,.08,.12,130316.2+503714,"NOPA,OFFSET 1.097 arcsec,PANedMedian,",0.5482390980715925,114.0,0.4560054196779549
13h04m27.8304s +55d36m17.748s,PGC 45196,,UGC 08174      U,,.L..-*.,*,.96,.13,10,.15,.05,130428.0+553617,"OFFSET 1.620 arcsec,",0.4560054196779548,10.0,0.3228271145173277
13h05m31.5672s +53d36m51.372s,PGC 45277,,,MK 0239,.S?....,15.7,.52,.20,,.28,.07,130525.8+533531,"NOPA,OFFSET 95.366 arcsec,PANedMedian,",0.16556556074129555,37.0,0.08689004143746877
13h05m24.9s +56d19m22s,PGC 45278,NGC 4964,UGC 08184,,.S?....,,1.04,.06,134,.29,.05,130524.9+561922 N,,0.5482390980715925,134.0,0.2811706625951746
13h05m46.5792s +46d27m42.408s,PGC 45309,,UGC 08189      U,IRAS13035+4643,.S..4..,,1.20,.05,133,.93,.05,130546.6+462744,"OFFSET 1.606 arcsec,",0.7924465962305567,133.0,0.09310435683314335
13h05m55.9s +53d39m33s,PGC 45321,NGC 4974,CGCG 270-051,,,14.30,,,,,,130555.9+533933 N,"LOGD25,NOPA,NOAXIS,PANedMedian,",0.6560999495096017,116.0,0.6560999495096017
13h06m04.032s +53d29m43.188s,PGC 45337,A 1303+53,,MK 0242,,,,,,,,130604.2+532931 A,"LOGD25,NOPA,NOAXIS,OFFSET 12.280 arcsec,PANedMedian,",0.6560999495096017,135.0,0.6560999495096017
13h06m04.4s +55d39m21s,PGC 45339,NGC 4977,UGC 08196      U,,.SAR3..,,1.19,.05,,.00,.05,1306 4.4+553921 N,"NOPA,PANedMedian,",0.7744083094562406,142.0,0.7744083094562406
13h06m24.528s +48d57m44.532s,PGC 45361,,UGC 08198      U,,.S..8*.,,1.02,.08,,.00,.06,130624.6+485743,"NOPA,OFFSET 1.688 arcsec,PANedMedian,",0.5235642740254498,65.0,0.5235642740254498
13h07m27.9552s +52d24m18.072s,PGC 45457,,UGC 08211      U,,.S..6*.,,1.01,.06,75,.07,.05,130728.1+522417,"OFFSET 1.704 arcsec,",0.511646496140377,75.0,0.4354817949780403
13h07m59.1s +51d55m45s,PGC 45502,NGC 4987,UGC 08216      U,,.E.....,,1.08,.17,35,.22,.08,130759.1+515545 N,,0.6011322173087066,35.0,0.3622179800374951
13h08m03.6s +46d49m41s,PGC 45506,,UGC 08215      U,,.I..9..,,1.00,.12,,.14,.09,130803.6+464941,"NOPA,PANedMedian,",0.5,54.0,0.36221798003749506
13h08m19.1616s +45d21m42.192s,PGC 45528,,UGC 08225      U,IRAS13060+4537,.L.....,,1.09,.08,,.04,.04,130819.1+452143,"NOPA,OFFSET 1.037 arcsec,PANedMedian,",0.6151343854061909,30.0,0.5610092271509818
13h08m41.7s +52d46m27s,PGC 45560,IC 0853,UGC 08230      U,,PSXS2..,14.50,1.02,.03,,.02,.05,130841.7+524627 I,"NOPA,PANedMedian,",0.5235642740254498,27.0,0.5
13h08m37.56s +54d04m27.804s,PGC 45561,,UGC 08231,,.SB?...,,1.20,.05,78,.45,.05,130837.8+540428,"OFFSET 2.121 arcsec,",0.7924465962305567,78.0,0.28117066259517454
13h09m19.4s +46d14m42s,PGC 45610,,UGC 08239      U,IRAS13070+4630,.S..6*.,,1.06,.06,159,.86,.05,130919.4+461442,,0.5740768107484414,159.0,0.07924465962305569
13h09m46.56s +55d29m08.88s,PGC 45655,,UGC 08247      U,,.L.....,,1.04,.18,135,.42,.08,130946.8+552908,"OFFSET 2.222 arcsec,",0.5482390980715925,135.0,0.2084346917351677
13h10m50.5104s +49d53m33.792s,PGC 45737,,UGC 08257      U,,.S..6*.,,1.04,.06,142,.94,.05,131050.6+495333,"OFFSET 1.173 arcsec,",0.5482390980715925,142.0,0.06294627058970838
13h10m47s +50d05m34s,PGC 45739,NGC 5009,UGC 08258      U,,.SB.3..,,1.06,.06,75,.24,.05,131047.0+500534 N,,0.5740768107484414,75.0,0.330346724003798
13h11m18.1s +45d39m38s,PGC 45773,,UGC 08268      U,,.SB.3..,,1.02,.06,27,.53,.05,131118.1+453938,,0.5235642740254498,27.0,0.15451477162567953
13h11m27.4608s +47d32m58.416s,PGC 45781,,UGC 08272      U,,PSBT5..,,1.12,.05,5,.19,.05,131127.6+473257,"OFFSET 1.998 arcsec,",0.6591283692782037,5.0,0.4255690191011883
13h11m41.1312s +50d14m50.208s,PGC 45798,,UGC 08274      U,,.SB.8..,,1.07,.07,150,.40,.06,131141.3+501449,"OFFSET 2.020 arcsec,",0.5874487774697649,150.0,0.23386757064359914
13h12m02.3s +44d48m52s,PGC 45828,,UGC 08281      U,,.S..6*.,,1.06,.06,62,.74,.05,131202.3+444852,,0.5740768107484414,62.0,0.10446480654270197
13h12m06.4s +44d40m43s,PGC 45833,,UGC 08283      U,,.S..3..,,1.00,.06,90,.29,.05,131206.4+444043,,0.5,90.0,0.25643069199568247
13h12m06.2712s +46d11m46.104s,PGC 45834,NGC 5021,UGC 08284      U,IRAS13099+4627,.SB.3..,,1.19,.05,78,.33,.05,1312 6.3+461145 N,"OFFSET 1.144 arcsec,",0.7744083094562406,78.0,0.362217980037495
13h12m12.6s +44d02m28.392s,PGC 45849,NGC 5023,UGC 08286      P,,.S..6*/,12.85,1.78,.02,28,.89,.03,131211.9+440218 N,"OFFSET 12.844 arcsec,",3.012797930371789,28.0,0.38812355831434586
13h12m21.4104s +50d23m45.852s,PGC 45861,A 1310+50,,MK 0244,,,,,,,,131221.3+502335 A,"LOGD25,NOPA,NOAXIS,OFFSET 10.903 arcsec,PANedMedian,",0.6560999495096017,159.0,0.6560999495096017
13h12m37.6s +47d03m47s,PGC 45880,NGC 5029,UGC 08293      U,,.E.....,,1.23,.14,150,.18,.08,131237.6+470347 N,,0.8491218262308722,150.0,0.5610092271509817
13h13m09.9336s +50d34m33.924s,PGC 45915,,UGC 08304      U,,.S..3..,,1.49,.03,89,.66,.05,131310.1+503432,"OFFSET 2.493 arcsec,HANDADJ PA,",1.5451477162567953,15.0,0.33804148769599085
13h13m22.8288s +46d19m21.612s,PGC 45939,A 1311+46,UGC 08308      U,DDO 167,.I..9..,,1.05,.08,155,.26,.06,131322.7+461913 A,"OFFSET 8.715 arcsec,",0.5610092271509818,155.0,0.3082975009307411
13h14m27.9504s +45d55m08.94s,PGC 46039,A 1312+46,UGC 08320      U,DDO 168,.IB.9..,12.7,1.56,.05,150,.42,.09,131427.9+455512 A,"OFFSET 3.105 arcsec,",1.815390273850507,150.0,0.6901921323014425
13h14m36.5928s +54d47m53.592s,PGC 46051,A 1312+55,,MK 0247,,,,,,,,131436.6+544756 A,"LOGD25,NOPA,NOAXIS,OFFSET 2.409 arcsec,PANedMedian,",0.6560999495096017,96.0,0.6560999495096017
13h15m30.312s +47d29m56.184s,PGC 46127,A 1313+47,UGC 08331      U,DDO 169,.IA.9..,14.6,1.43,.04,140,.46,.06,131529.9+472958 A,"OFFSET 4.553 arcsec,",1.3457674019634576,140.0,0.46662715039849545
13h16m29.8128s +52d56m01.248s,PGC 46206,,UGC 08347      U,,.L...*.,,1.09,.10,150,.11,.05,131630.0+525560,"DEC_ADJ,OFFSET 2.164 arcsec,",0.6151343854061909,150.0,0.4774962930107181
13h18m34.4136s +47d07m55.884s,PGC 46372,,UGC 08364      U,,.S..6*.,,1.08,.06,53,1.05,.05,131834.7+470754,"OFFSET 3.477 arcsec,",0.6011322173087066,53.0,0.053575965261880326
13h20m00.984s +52d03m03.168s,PGC 46505,A 1317+52,MCG +09-22-049,MK 0251,,,,,,,,132000.9+520304 A,"LOGD25,NOPA,NOAXIS,OFFSET 1.137 arcsec,PANedMedian,",0.6560999495096017,94.0,0.6560999495096017
13h20m18.5928s +50d43m13.368s,PGC 46530,,UGC 08386      U,,.S..6*.,,1.09,.06,72,.71,.05,132018.7+504312,"OFFSET 1.705 arcsec,",0.6151343854061909,72.0,0.11994164595097456
13h20m24.9096s +56d26m13.992s,PGC 46545,A 1318+56,MCG +10-19-060,MK 0253,.S?....,,,,,,,132026.7+562611 A,"LOGD25,NOPA,NOAXIS,OFFSET 15.146 arcsec,PANedMedian,",0.6560999495096017,175.0,0.6560999495096017
13h22m50.6592s +51d44m17.628s,PGC 46734,A 1320+51,CGCG 271-035,MK 0254,,,,,,,,132250.6+514415 A,"LOGD25,NOPA,NOAXIS,OFFSET 2.685 arcsec,PANedMedian,",0.6560999495096017,147.0,0.6560999495096017
13h22m59.7s +52d58m10.308s,PGC 46752,A 1320+53,MCG +09-22-054,MK 0255,.S?....,,.74,.14,,.00,.07,132259.7+525806 A,"NOPA,OFFSET 4.308 arcsec,PANedMedian,",0.27477043692881226,40.0,0.27477043692881226
13h26m02s +51d18m07s,PGC 47000,,UGC 08446      U,,.S..6*.,,.92,.06,163,.18,.04,132602.0+511807,,0.41588188555133554,163.0,0.2747704369288123
13h26m54.3s +52d45m12s,PGC 47096,NGC 5163,UGC 08453      U,,.E.....,,1.04,.18,10,.18,.08,132654.3+524512 N,,0.5482390980715925,10.0,0.36221798003749506
13h27m11.9s +55d29m13s,PGC 47124,NGC 5164,UGC 08458      U,MK 0257,.SB.3..,,1.00,.06,,.04,.05,132711.9+552913 N,"NOPA,PANedMedian,",0.5,25.0,0.4560054196779548
13h27m45.696s +54d47m56.904s,PGC 47178,,UGC 08462      U,,.S..2..,,1.08,.06,87,.55,.05,132745.8+544756,"OFFSET 1.275 arcsec,",0.6011322173087066,87.0,0.1694220780696013
13h28m00.1368s +56d02m05.604s,PGC 47215,,MCG +09-22-067,,.S?....,,.82,.13,67,.17,.07,132800.0+560204,"OFFSET 1.972 arcsec,",0.33034672400379794,67.0,0.22334179607548152
13h28m10s +46d40m19s,PGC 47231,NGC 5169,UGC 08465      R,,.SBT3*.,,1.37,.03,103,.40,.03,132810.0+464019 N,,1.1721144076599614,103.0,0.46662715039849567
13h28m06.7992s +56d02m43.224s,PGC 47246,,MCG +09-22-068,,.L?....,,.90,.17,50,.44,.07,132806.7+560239,"OFFSET 4.305 arcsec,HANDADJ PA,",0.39716411736214075,140.0,0.1442015751563303
13h28m25.3s +46d35m29s,PGC 47257,NGC 5173,UGC 08468      R,,.E.0.*.,13.1,1.25,.07,,.03,.06,132825.3+463529 N,"NOPA,PANedMedian,",0.8891397050194614,95.0,0.8297934537187802
13h28m33.1896s +46d55m37.884s,PGC 47270,IC 4263,UGC 08470      P,,.SBS7*/,,1.31,.04,105,.68,.04,132833.3+465538 I,"OFFSET 1.137 arcsec,",1.0208689723347648,105.0,0.21328975940079634
13h28m44.0544s +43d55m50.52s,PGC 47284,A 1326+44,,MK 0259,,,,,,,,132844.4+435552 A,"LOGD25,NOPA,NOAXIS,OFFSET 4.016 arcsec,PANedMedian,",0.6560999495096017,75.0,0.6560999495096017
13h28m48.9552s +53d26m34.44s,PGC 47291,A 1326+53,,MK 0258,,16.32,,,,,,132848.8+532634 A,"LOGD25,NOPA,NOAXIS,OFFSET 1.455 arcsec,PANedMedian,",0.6560999495096017,65.0,0.6560999495096017
13h29m16.212s +53d04m55.092s,PGC 47324,NGC 5201,UGC 08480,,.S?....,,1.22,.05,145,.20,.05,132916.2+530454 N,"OFFSET 1.097 arcsec,",0.8297934537187802,145.0,0.5235642740254497
13h29m39.1296s +45d23m13.956s,PGC 47371,A 1327+45,UGC 08489      U,DDO 176,.SX.8..,14.62,1.33,.04,106,.53,.05,132938.9+452315 A,"OFFSET 2.634 arcsec,",1.0689810447511163,106.0,0.31547867224009674
13h29m52.7s +47d11m42s,PGC 47404,NGC 5194,UGC 08493      R,VV 403,.SAS4P.,8.96M,2.05,.01,163,.21,.02,132952.7+471142 N,"HANDADJ Major Minor,",7.293000000000001,163.0,4.496700000000001
13h29m59.5s +47d15m58s,PGC 47413,NGC 5195,UGC 08494      R,IRAS13278+4731,.I.0.P.,10.45M,1.76,.02,79,.10,.03,132959.5+471558 N,,2.8771996866857847,79.0,2.2854409480743754
13h30m11.4s +46d40m14s,PGC 47441,NGC 5198,UGC 08499      R,1ZW 059,.E.1+*.,12.69,1.32,.05,51,.07,.04,133011.4+464014 N,,1.0446480654270198,51.0,0.8891397050194615
13h30m38.7432s +49d08m11.724s,PGC 47469,,UGC 08506      U,,.S..6*.,,1.12,.05,159,.99,.05,133038.8+490813,"OFFSET 1.392 arcsec,",0.6591283692782037,159.0,0.06744814412958271
13h30m44.4s +54d54m36s,PGC 47495,,UGC 08508      U,1ZW 060,.IA.9..,,1.23,.05,120,.22,.05,133044.3+545439,"OFFSET 3.121 arcsec,",0.8491218262308722,120.0,0.511646496140377
13h32m35.8992s +49d49m46.992s,PGC 47658,,UGCA 361       U,,.I..9*.,,1.00,.10,,.23,.18,133236.4+494957,"NOPA,OFFSET 11.119 arcsec,NedNoPA,",0.5,0.0,0.29442182767779446
13h33m14.7504s +45d50m13.884s,PGC 47718,,UGC 08538      U,,.S..7..,,1.04,.08,3,1.06,.06,133314.8+455012,"OFFSET 1.954 arcsec,",0.5482390980715925,3.0,0.047749629301071794
13h33m20.2s +51d29m25s,PGC 47731,NGC 5225,UGC 08540,,.S?....,,.81,.08,,.00,.05,133320.2+512925 N,"NOPA,PANedMedian,",0.3228271145173278,57.0,0.3228271145173278
13h34m04.536s +52d42m08.208s,PGC 47780,,UGC 08551      U,,.S..3..,,1.19,.05,18,.98,.05,133404.8+524208,"OFFSET 2.409 arcsec,",0.7744083094562406,18.0,0.0810905048679465
13h34m02.9s +47d54m55s,PGC 47788,NGC 5229,UGC 08550      P,,.SBS7?/,,1.52,.04,167,.77,.05,1334 2.9+475455 N,,1.6556556074129556,167.0,0.2811706625951746
13h34m42.5s +51d36m49s,PGC 47853,NGC 5238,UGC 08565      U,1ZW 064,.SXS8..,*,1.23,.06,160,.07,.06,133442.5+513649 N,,0.8491218262308722,160.0,0.7227198853729637
13h35m16.188s +44d45m41.112s,PGC 47904,,UGC 08577      U,,.S..8*.,,1.15,.05,124,.67,.05,133516.3+444540,"OFFSET 1.631 arcsec,",0.706268772311377,124.0,0.15099758602010074
13h35m42.8s +45d55m47s,PGC 47951,A 1333+46,UGC 08588      U,DDO 178,.S..9*.,,1.11,.05,,.00,.05,133542.8+455547 A,"NOPA,PANedMedian,",0.6441247758465671,33.0,0.6441247758465671
13h36m01.2192s +49d57m39.024s,PGC 47985,IC 0902,UGC 08593      U,IRAS13340+5012,.S..3..,*,1.34,.04,162,.72,.05,1336 1.2+495738 I,"OFFSET 1.041 arcsec,",1.0938808119747765,162.0,0.20843469173516777
13h36m07.3s +51d14m08s,PGC 47997,NGC 5250,UGC 08594      U,,.L.....,*,1.00,.10,,.05,.04,1336 7.3+511408 N,"NOPA,PANedMedian,",0.5,113.0,0.4456254690668728
13h36m15.3504s +46d11m58.236s,PGC 48012,A 1334+46,UGC 08597      U,DDO 177,.SBS7..,14.16,1.18,.05,40,.08,.05,133615.6+461160 A,"DEC_ADJ,OFFSET 3.080 arcsec,",0.756780624218104,40.0,0.6294627058970835
13h36m49.3104s +44d52m53.184s,PGC 48064,,UGC 08611      U,,.SXS7..,,1.19,.05,,.05,.05,133649.5+445252,"NOPA,OFFSET 2.337 arcsec,PANedMedian,",0.7744083094562406,100.0,0.6901921323014424
13h38m17.5s +48d16m37s,PGC 48192,NGC 5256,UGC 08632a+b   R,MK 0266,.P.....,,1.08,.06,,.05,.05,133817.5+481637 N,"NOPA,PANedMedian,",0.6011322173087066,130.0,0.5357596526188033
13h38m59.8008s +51d26m04.992s,PGC 48259,,UGC 08639      U,,.I..9*.,,1.17,.05,170,.13,.05,133859.8+512606,"OFFSET 1.008 arcsec,",0.7395541940841036,170.0,0.5482390980715925
13h39m23s +51d03m03s,PGC 48286,IC 0907:,UGC 08643      U,,.SB.3?.,15.3,1.11,.05,20,.74,.05,133923.0+510303 I,,0.6441247758465671,20.0,0.11721144076599613
13h39m28.9104s +46d00m55.584s,PGC 48291,,UGC 08642      U,,.S..7..,,1.18,.05,113,.85,.05,133928.8+460055,"OFFSET 1.290 arcsec,",0.756780624218104,113.0,0.10689810447511161
