Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
11h08m30.084s +45d07m50.952s,PGC 33755,,UGC 06187,IRAS11056+4524,.S?....,,.81,.11,,.07,.06,110830.0+450752,"NOPA,OFFSET 1.374 arcsec,PANedMedian,",0.3228271145173278,134.0,0.2747704369288123
11h09m43.7s +46d48m51s,PGC 33840,,UGC 06201,,.S?....,,.85,.08,110,.19,.05,110943.7+464851,,0.35397289219206896,110.0,0.22854409480743748
11h09m58.3608s +46d05m41.604s,PGC 33875,,UGC 06205      U,,.S..9*.,,1.26,.04,50,.12,.05,110958.8+460544,"OFFSET 5.159 arcsec,",0.9098504293049917,50.0,0.6901921323014424
11h10m30.3456s +55d10m11.46s,PGC 33914,,UGC 06211      U,,.SX.4..,,1.04,.06,125,.10,.05,111030.2+551011,"OFFSET 1.329 arcsec,",0.5482390980715925,125.0,0.43548179497804035
11h10m56.8728s +53d23m15.972s,PGC 33964,NGC 3549,UGC 06215      R,IRAS11080+5339,.SAS5*.,12.78,1.51,.03,38,.44,.03,111056.9+532315 N,"OFFSET 1.002 arcsec,",1.6179682846481414,38.0,0.5874487774697648
11h11m26s +43d54m26s,PGC 34019,,UGC 06232      U,,.S..1..,,1.19,.05,146,.65,.05,111126.0+435426,,0.7744083094562406,146.0,0.17336842522626578
11h11m27.3696s +47d02m07.944s,PGC 34021,,UGC 06227      U,,.L..-*.,,.90,.09,,.05,.03,111127.5+470208,"NOPA,OFFSET 1.334 arcsec,PANedMedian,",0.39716411736214075,153.0,0.35397289219206896
11h11m30.9s +55d40m27s,PGC 34030,NGC 3556,UGC 06225      R,,.SBS6./,10.69M,1.94,.01,80,.59,.02,111130.9+554027 N,,4.3548179497804025,80.0,1.1193605692841697
11h12m26.916s +51d38m12.444s,PGC 34094,A 1109+51,UGCA 229       R,MK 0164,.S...$.,,.54,.19,18,.48,.09,111226.2+513804 A,"OFFSET 10.758 arcsec,HANDADJ PA,",0.17336842522626583,8.0,0.05740768107484415
11h13m26.1408s +53d35m42.288s,PGC 34170,A 1110+53,UGC 06251      U,DDO 092,.SX.9*.,14.93,1.26,.06,60,.03,.06,111326.1+533540 A,"OFFSET 2.317 arcsec,",0.9098504293049917,60.0,0.8491218262308722
